,pWriter,pPainter,pMover,pHeritage,pShopper,
Message,"And it's the same thing, like I just touched on with the Wo Fat thing, it's more or less like, how do you how do you take because obviously, well I see it differently. Because I've seen the area I've been in an area. And for me, kinda like having or trying to look for different perspective everywhere I go. I see patterns in not just here, but elsewhere, where places will tend to get rundown and then that place see like a New York and ??? area they, you know, you wait for sometimes you want people with money, or developers want a place to get rundown, it has a history, they'll let it go bad and then they'll come in and put some money in it or they might let it get worse. For them what there's a long term game there. Right? And that long term game is uh to 10/20 years how do we develop this into create? With stories is how you create something right? You create an area like the banks are buying up the whole river River Street, CPB they're building hotels, now their building uh. So there's a lot of this tells me that they want to secure their, their, their niche, with their development visions, you know, that's kind of what I see, or their investment. I don't know what it is honestly. But that's from my point of view, you know, I have a very, I don't know, I try to like, I take all the pieces of the puzzle and try to see how it fits in there. Kind of what I know. And I'm always kind of fuckin' with everybody. ","It with very little time that they had available was to give them that. Oh, yes. It's basically what I was saying before. That's true. I was. It's been a little while since I did this project. So I'm like, Oh, yes, that's right. Yes. For the ships that came inin 1850, the blooming and diversity and its rebirth from the ashes to make a better Chinatown. It's basically a way to condense a lot of information into something that somebody can read if they just have to have 15 seconds. foot traffic audience, most likely, because they think it's deep into the I think only buses can go down that lane. So yeah, and for people waiting at the bus stop, or sitting on the bus actually, will get a chance to just peer on over. And it's kind of fun, because it's kind of near the dragon's mouth itself. So it's kind of like it's, it's having a conversation.","Well, you know, to I would have to say that they want to say that uh don't give up on Chinatown. We will come back again. It will be beautiful.",They want to build a better Chinatown.,"They want they would like to reactivate the historical memory of Chinatown, right? I think 1850 might be the year that the first generation Chinese migraine migrants came to the came to Hawai'i, is it? Um, so maybe, you know, most of the Chinese people in Hawaii forgot that. And then Chinese people, Yeah, of course, they don't know that. Right. So I think it's very meaningful to mention bring this history to us.",Message
Intention,"Um, maybe so people don't stop on the corner and read it, I don't know. I think it's maybe, what's the ARC? ARC is... Uh I don't know what that is, but ""make a better Chinatown, the ships that came in ?? make a better Chinatown."" .... ""Make a better Chinatown."" Yeah I don't know. Uh.  It basically says, I don't know, kind of, like, kind of like what I said and what this location I think it's just a side note. More subliminal, but saying, enough. You know, a lot of things changing and it's still changing now and uh that's what's happening. You know, and it's gonna continue uh, how do we make more money off of what the backs of someone else, you know. This area was built like when you when I like to I love Chinatowns everywhere. I think that there's a different type of, even in other countries that are not in China it's pretty cool. And there's a sense of pride in that in that community. And they've had it for generations and it keeps them together a cohesive and it's important to their, to their future generations too like, So and this kind of it says a lot. I don't know, the more I look into it, the more it says a lot and I'll think about it more, but I think it says a lot when it says the ships that came in 1850s the ships that came in 1850 pretty much ended a lot of things and started someone else's agenda,",,,"It kind of talks about history, I assume. Because I know that during the bubonic plague, they, like set fires in Chinatown. And that might be, referencing the ashes. And the ships that they mentioned might be about how the bubonic plague came to Hawaii. And yeah, I just know that the history where they like set fire to Chinatown, and then the fire went out of control. So they had to rebuild Chinatown. And this might be like, like a second, I think, actually, third time of trying to renovate or rebuild Chinatown into something better.",,Intention
Location,"which is what the ships were meant to do in trade, the ships are sent from their origin, to implement someone else's game plan. That was the whole mission of a ship. And so I don't know who wrote this, but I can see a lot of things with it. And they're trying to make rebirth from the ashes, which we know it's a ???, it's kind of terrible. You know, there's a lot of drugs a lot of poverty. It's a struggling area, but there's huge value, huge value. Like I have regulars who come in, and they, they own generations of a small building. And I appreciate that you have a small business, they have a building. It is currently in and a form of ashes its not ashes, but from what's what it originated and started out as a, you know, it's probably going downhill consistently. And it's at a point where, how do we turn around, but now that there's huge value in this broad value, Waikiki cannot sustain its visitor traffic. It's, it's not happening, you know, how do you take that, that excess, and keep it and funnel it to where it can be captured by whoever wants to capture it or whatever can capture it, right? And it's kind of that's, that's what I see. They want to make it what it is. Take what what something or origination of the ships come in, and continuing this generational system that's been in place. And taking it under the feet of someone else whose built it into something, taking that commodifying it and getting more out of it, than what the people who built it put into it. That's","it was the part of the wall, because I wanted sort of the whiskers to be kind of like feeling for and very much based on some imagery that the students had found. So they chose which kind of image they wanted to represent the dragon. And it was a part of the wall that would otherwise have been just dead space. And would've been tagged anyway, if we hadn't put something there. So it did make me think that we probably should have filled up all of the all that black space was probably way too inviting on the upper part, but that's fine. And again, I'm thrilled. It did look like there must have been something that destroyed the glass. And now that I look at that, yeah, there were those wooden those wooden planks had gone up [...]  I believe so I believe we painted we paint onto the window itself or did was it onto? Oh, no, no, I think it was wooden panels are covered, I think. I think  I really don't remember. But it would I want to think it was glass, and I want to think, then somebody must have broken the glass, you know, just smashed that window. And then they had to put a wooden panel over to protect it. Because if it had been wood, I don't think somebody would have smashed or done some kind of a done enough damage to plywood that they would have had to put more plywood over it. Yeah, I think we painted it on glass. Whereas this is wood though? Sorry. Yeah, this one was wood. Yeah, this one was wood here.","Well, because like I said, you know, when you start from the very beginning, you know, the coming, growth, fire, and then they gonna coming up from the ashes again, the dragon.","When you look at the mural, you kind of follow the dragon like, along its body. And then once you get to the head. That's where the message is. And I would assume that the artist wants you to read that message. Because it's right where your eye like where the dragon leads your eye to.","This paragraph is, is put in front of the head of the dragon, right? It's like, so it's like, the dragon, I can imagine is like the symbol of China, Chinese culture, right? So like this. This is what the dragon bring to us, brings to us, The Chinese people.  [what does the dragon bring?]  Chinese culture like the diversity, the blooming diversity.",Location
Creation,,"there was a window there. Yeah, that must have been smashed in. Because the red, the red, the blue, green, and red were all equidistant sections of the wall. So they were all exactly the same size. So yeah, that must have been something or someone destroying the window.",,,,Creation
Motivation,,,,,,Motivation
Successfulness,"Now that I've interpreted it, yes. But probably not. Like, if I just passed by and read it? I wouldn't think about it. Yeah, I'm only thinking about it because you made me think. And honestly, I would briefly go over and ""Okay, yeah I don't get it but but I got I gotta get somewhere or go buy fruit or something,"" you know.","I think the message was pretty good, pretty clear. And they were able to talk about who they are as a community organization. And I did ask them, oh, it'd be great. to do. You know, I earned the opportunity to have my name tagged on the wall. I put in the effort. Now I get to have my name on the wall. But it's because I ??. Because I facilitated it. That was, that was what I could get out of it was social, the social capital component of it, which is the opposite of what taggers get, because they get to get thumbs down for it.",Oh I think so,"Yes, I think it is. I think it's like, it's pretty artistic. And it all like leads down to making a better Chinatown. And I think that's what they want to do with this building.","I think so. Because only with this picture is just maybe just a very general like representation of Chinese culture, right? But with this paragraph, you will see oh, there's a history behind the Chinese. Chinese residents on this island.",Successfulness
Text 5,Come ON...,Come ON...,Come ON...,Come ON...,Come ON...,Text 5
Text,come on or come? Yeah.,"It looks like it's ""come on."" Like it's saying ""come on"" someone. Or like all I or camera at me somebody's name? Yeah, I can bear it's barely legible.","Ah, it's crazy.  […]  The graffiti. ""Come on"" Eh... I don't know, ""Come on,"" yeah. ","That kind of looks like it's saying, ""Come on""","[begins reading printer portion, attention redirected]  Oh, ""Come on"" What's this?",Text
Audience,Yeah. The owners.,"I can't imagine this doesn't seem like a conventional tag. It may be a scrawl someone not who's maybe not well, just sort of writing something incomprehensible.","Ehh, (?) Some people, I don't know, homeless? kids?  [You think the writer wrote that for homeless to read?]   I'm not sure. I don't think it's homeless, it must be some kids.  So, you know, could get doubts (?). I don't want to blame the kids. But",I would assume that message would be towards the union that's trying to do the renewal project.,"I would guess like the writer might be someone who I would not say racist, but might not be that friendly to China or Chinese people. [why is that?--see below]  ",Audience
Message,"I don't know what what was under it, it looks like it continued. It went here, here here. Yeah, I think some people do recognize what it is like, like me, I just really, I kind of only put the pieces together. And I mean, I mean, just when you put the Secretary of the Interior standards for real basic rehabilitation, I kind of got an idea what's going on there. And if they're, they're promoting the long term economic viability of the property and the Chinatown historic district, I'm not buying it. They're there. They're just rehabilitated and want the long term economic viability for its owners. Where and it's obviously not a Chinatown, or origin. Original Chinatown owner, right? It's been bought up. After it's been run down, and now they're building off something off of what it you know, its potential, honestly, that the potential that someone couldn't fulfill because the area was neglected or business was taken out of there, shuffled elsewhere, you know, maybe just different times, you know, and whatnot, but that's, I think it has now that I see this, I think a lot of people might understand a little more what's going on. Honestly, I I've never looked into it, really, I I've never read the whole I've I speed read sometimes, and I was just like, and then on the article, I will never look at the black writing. And that's like, it's basically going to whoever's behind the project, I think. Because no one else really cares. It's not meant for anyone else. It's obviously at the bottom of the caption, not on the on the  the photo, or whatever the drawing. And it even goes around it. It's the same pen that did all of that. But there's errors that's missing.","Other than in general, there is a real there's a lot of tragedy, really in relationship to houseless situation and Chinatown. Is that which has only been exacerbated by COVID. It makes you know, it's the the most important tragedy considers the fact that people are displaced and struggling and suffering a lot. There those scrawls to me are more excusable, because it's just somebody who's not quite well, you know, whereas a tagger is, I think, has more responsibility and can be taken, taken, you know, to task for their. But I couldn't somebody who just not well, and needs help. Taggers need help, too. But a different kind of help. probably","Well again, you know, they got nothing to do, I guess, you know, graffiti is basically to sell your, your, your own name, yeah?",It kind of seems like they're upset about it. Or they don't agree with this project.,"Because I think the message for me, I think it's kind of like they are very indifferent, or not that interested in this project. Maybe they are not that. They are maybe they're not friendly to Chinese people I think, who don't like this place, they don't like this people.",Message
Intention,,when I guess when we're thinking about somebody who is not well. It's hard to make any judgment about what what if anything we had done was intentional or compulsion at some point in,,I think maybe they want to show the union that it's maybe not a good idea.,,Intention
Location,,"As potentially a comment to the text, I guess. But I even still, I can't quite make the leap between why they would have written what they did. Yeah.","Nah, I think it's just there and just did it.",I think they wrote it there to send a message to the people that posted the poster.,"Because the message in the printed message saying like, they want to rehab litate rehabilitate this area. ""Come on. Don't do that. We're not interested in it.""",Location
Creation,I'd say it took I don't know less than a I don't know less than a in a minute? Not long. ,,,I think a couple of seconds. For this one. They probably just read it and then decided to write on it.,"Hm, one minute. ",Creation
Motivation,,,"[Alright, so, so no real clear motivation?]  Yeah, no",,Is not off the top of my head.  [see above],Motivation
Successfulness,"Being that you're here telling me about, I think it's very successful. I had never noticed noticed it, because it's none of my business as a property owner. And, you know, it's kind of out of my neighborhood. So I have very different ideas on how... I come with a more traditional Native Hawaiian sense, where we take it as Ahupua'a, we don't have Ahupua'as anymore, we have","No, I don't I don't I don't think it's I don't think they were trying to communicate. I can't I guess can't possibly get it. When",,I think if they're really upset about this project that they're thinking about doing then maybe not that successful. [why is that?]  I think because like there's not much else behind it. Like Like there's no like reasoning. I would assume they don't really didn't really talk to those people specifically about it.,"Yeah, I think so. Because it's, it directly shows like, the opposite, you know, opinion to the printed message.",Successfulness
,"Ahupua'a, Ahupua'a is a native Hawaiian idea of you take care of the area that you're in your neighborhood, your community first is what you do is that's everybody's responsibility. My community is here. And I try to bring value to everyone that even if it's someone who doesn't belong here, or is just passing by, like how do I give back. How do I do that? You know, that's my whole, my whole motivation. On many things. That's what we all should be. How do we, you're providing value to what you're thinking, right? Or what you're working on. Um and you want this to go towards this project. So it goes towards something else that's gonna be value in life. But how do you give back value? Right, we can always take value for ourselves. And but that doesn't help the community if you're always taking or trying to find ways to only improve oneself. Very good. What was the question? Again? The question was",,,,,
,"Yeah, I thought it was successful. I think it's successful, mostly because it's, it's not meant for anyone else. But whoever. What that sign right there. Yeah. ",,,,,
Text 6,Throw up; Zee nwB,Throw up; Zee nwB,Throw up; Zee nwB,Throw up; Zee nwB,Throw up; Zee nwB,Text 6
Text,"Oh, man, let me see.  C U D I S. I don't know what that means. I don't know if it's correct. I don't know what else it could be besides that. ","Barely but but it's but Buddhists, yeah, Z nub. budd is zenub, there you go. Absolutely.",I have no idea what that is.,Not really.,"I'd like to, but I really can't do that.   […]  Is this Z? But what does it mean? ",Text
Audience,"Yeah, I think it's more entertainment-wise. It's a very old school fashion of lettering very, very. But that's the individuality part of it. You know? It's not your, your new tag style. What was the question? You asked if it reaches its end target? I think it did. Because it's covering up a few different things. So it's how it is. It has a message and it has a signature under there.","Probably very small, intended audience and just simply recognition if anything","Well, again, you know, for graffiti. You know, the audience, for everyone. So they can recognize their artwork. Usually there's a signature to it.",I think the audience would be other people that tag as well. Because it does look like it's covering other graffiti.,"I think so. There might be there must be someone who can read this, but not me.  [who do you think the audience may be?]  Some American young people?  [Why is that?]  Because I always see like, this painting paintings like this in New York City, because I know they're grow people like doing that.",Audience
Message,"I don't know what it is. Honestly, I don't because I don't know what it's over. It's over something. And I can see remnants of it, but I can","There, they definitely had more time to do what they did and at least thankful they didn't do it on the actual mural itself.",I don't know. I cannot interpret that. […] I don't even know what it is.,"I think it's like the same as other graffiti like I've been here. But I think since this one is so much bigger, it might be like a competition type of thing. Like, I'm better type of thing.",,Message
Intention,,,It's part of one of their trademark.,,"Maybe they want to show like, I can make my own voice. Make my own voice in this public space? Maybe I'm not from the upper class, I don't have money. But I can show you I am here. I guess.",Intention
Location,"Yeah. Yeah. I mean, it's, it's meant to cover space, not to, not to, because even the signature under it, they know how to tag they know how to do different styles, but that's meant to cover area. It's like a tattoo coverup. Nice. That's what I think.","a big, a big space that would be very readily identifiable from the street? I think that one is on Mauna Kea. So I think that one is would be a common street. So they chose a location that was very accessible","Well it's just there. You know, me. You got a nice empty spot.","It looks like it's a pretty big area for graffiti work. And like, it's like a canvas to them maybe.","Because there, they know that might be many passengers. So it's easy to draw people's attention?",Location
Creation,"I don't know, it's uh, I mean, like maybe 20-30 minutes. I don't know, it can't take that long. If that's a very soon but to cover that area, the actual implementation of that could have been 15 minutes, but uh... could've been  faster, honestly, if you do it right, but I don't know what the black doesn't look like it's as... yeah, it could have been super fast could have been done in 5-10 minutes, because the white outlines are pretty fast. And then you have your black area. That's not super, they didn't spend a lot of time on it. You can see how it's just kind of transparent, opaque. And it's something that a lot of it's fading they just kind of like covered area. That's it. Oh, yeah, well, maybe faster. I didn't know that they were across from the police station. Yeah, has to be fast.","15 to 20 minutes? If this is there, if it's their a recurring tag, then they probably planned it once, and they just keep recycling the same tag over and over",,"This one, I would say maybe like, half an hour, maybe? Um, it looks more intricate. Because there's like shadows and different colors.","Oh, I don't really know, you know, the process of making it, maybe several hours?",Creation
Motivation,,recognition,,"This does look like a tag, like, like something they would tag on multiple places. I think for this one, it looks more like an art style. So maybe they wanted to express themselves.","A desire for destroying.  [why is that?]  When I see such a building that is that seem to be abandoned, there might be an impulse to leave something new on it, to make more damages. [You mean you have that impulse?]  It's like a psycho psychological phenomenon, the broken window, you know, effect, right?",Motivation
Successfulness,"from the writer's perspective? I think it's successful. They set out to do what they did, and they did it. So I think they accomplished their mission.","by their criteria? Probably successful enough for them to probably keep doing it, unfortunately.","Yeah, definitely. […] It's big. You can't miss it, if it's far away, you can see it.",I think it's pretty successful because it looks really big. Okay.,"Although I don't understand it at all? I think it's successful. Why is that? Because it really draws my attention. Every time I pass it, I will notice it.",Successfulness
Text 7,DANGER KEEP OUT,DANGER KEEP OUT,DANGER KEEP OUT,DANGER KEEP OUT,DANGER KEEP OUT,Text 7
Text,What do you mean? So that's not supposed to be there? Or… it has it What was the message? Or answer or question again?,"Danger construction area, keep out?",,"Yes, that's danger and Keep Out sign.","Yeah, ""danger construction area, keep out""",Text
Audience,Yeah.  Everyone walking by.,for general general community ,,"I think that's for everyone that's around you, just so people stay out of the area if they're doing construction.",other passengers,Audience
Message,"It's a construction or just be pay attention because it's uh, something could happen. That's obviously I've I've worked in construction and it can be specially if someone's working above you. They might drop a wrench or screwdriver or a hammer and if you're under it's gonna I mean, yeah. Something could happen bad. So yeah, I think it's done. I mean, plain and simple.",The message is to stay out of the building because it's in construction currently.,,[see above],"Just to remind people to be careful, not get hurt",Message
Intention,"Yeah, I think there's liability insurance liability. Maybe they have for insurance reasons they have to post signs Yeah, that's what I think","Liability, don't want to get don't don't want to get anybody hurt, but probably to them. More importantly, they don't want to get sued. Or, as important. I don't want to be too cynical.",,,They want to make sure that people will be safe and will not interrupt their work.,Intention
Location,,"It would be somewhere that was accessible, and it wasn't on a temporary rolling wall. And it was at a middle height, which means that just about anybody, just about an average eye level will be able to read it.",,I think the construction work might be inside the building. So it's mostly like right outside where the doors are?,"I think if this design is if it's too large, it will like kind of destroy you know, the the the appearance of this building. So they would like to make it small, but would like to also dra to draw people's attention. So I think this location, this space is very proper for it. ",Location
Creation,,"It was probably manufactured off site in a generic place of . And probably didn't take more than 10 minutes, two or 5-10 minutes to actual mount it either by it with a glue or some other kind of adhesive.",,"I think once they figured out that they were doing construction, I think it just takes a couple of seconds to put that out.","Half day maybe? [that long?]  Two hour, one hour, half hour? [laughs]",Creation
Motivation,,,,I think it's necessary. Like if you're doing or if a company does construction somewhere. I think it's best if they do post a sign like this just to keep everyone else safe.,Public Safety,Motivation
Successfulness,"Well, I think it's successful in that it can cover some liabilities if something happens because it's their sign here. And it's telling you it's a construction or it's telling you to keep out actually. Oh, okay. Is this a different message? I thought it was passerby ""keep out"" well, yeah, I guess maybe there isn't that much success, I don't know maybe that's why they have to put it or, maybe people are going in I didn't I didn't realize they keep out. Not be but maybe that's all the only sign that was at Home Depot. I don't know. You know, so maybe they just wanted for liability reasons to have a construction area dangerous sign. And that's the only one that was on the shelves, cus it's shelf-bought, maybe it was the cheapest one and it just wasn't everywhere. Yeah. I think it's done well ???.",Pretty successful. Because it would basically say there's really no reason for anybody to be in the building. If they're not doing construction.,,"Yes, I think it is successful, it's pretty clear. What they are trying to say.",I think so. [why is that?] Why is that because the message is very clear. ,Successfulness
Text 8,WAVER 4 President,WAVER 4 President,WAVER 4 President,WAVER 4 President,WAVER 4 President,Text 8
Text,"waver. for president first onai ohana. I don't know. Yeah, I can read it.",waver? L for President first hanai Ohana fi ai,,It's says Waver for President first (???) Ohana,"""Waver for President first Hanai, Ohana fai ai.""",Text
Audience,"Yeah. I've never heard of any of this, but I think it does. I don't know who Waver is. I don't know what presidency they're running for. Or somebody wants them to be for. But it's not anything on a huge scale. So it's something more I don't know.",They must have must get have intended audience very strange.,,"It seems political. So yeah, maybe it's about politics or anyone interested in politics.","I think for the local people, um, I think some of the words are like Hawaiian. Right? And so only local people can understand the texts. ",Audience
Message,,Somebody is being nominated for president. And not one of the more successful campaign slogans I've ever come across.,,"It kind of seems like anti-government to me. I'm not sure. Not sure what ""Waver for President"" means.","I don't understand these Hawaiian words, so I'm not sure.",Message
Intention,"Well promoting someone else's, or showing support I don't know. I'm not sure.",attempt to be playful or cute or something. But it's so extremely cryptic. I can't I really can't guess much more beyond that.,,,"They must have, but I just cannot interpret it.",Intention
Location,"Well, I don't think there's a reason it's a scrap piece of board, it's pieced onto another board. Maybe it's a maybe somebody came from somewhere else it was already there. Maybe somebody took it off and someone, whatever, put another piece there because it looks like the little circle on on that. The o on the black spray paint, the edge of it is gone. So that's a newer piece. Maybe they just had to put another board there, and maybe it was already on the board. But it's, you're not gonna spend lots of money, you're not gonna buy brand new board for things like that. You just grab whatever's around and put it out. No one cares. It doesn't make sense there, honestly. So I wouldn't ","wood panel with a dark pen so light light panel, so it would be recognizable and that is it is at a relatively accessible eye level",,"I think they chose that area, because you might be already looking at the artwork that's there. So you might stop and read their message as well.","Maybe because, you know, this wall is very noticeable. So they will say, Oh, if people notice this dragon, they will also notice our message.",Location
Creation,,Other than their general idea behind whatever they were trying to say? There must have been some planning but obviously not too much.,,"I'm not sure what it means. But for planning, I think this person might be like, very politically opinionated. So it might be something they already think about. And it might take like few seconds for them to write.",,Creation
Motivation,,,,,"As since I don't understand it, I cannot have conclusion right now. ",Motivation
Successfulness,"For whoever wrote it, I think for them, it's successful, like, what it's trying to do? I don't know. But I mean, successful and maybe just getting practice on writing things. So yeah, I mean, success is what could be many things, you know, somebody just wants to put extra repetitions on letters in an alphabet? I don't know. Maybe just what's on their mind? Maybe they're uh What you call this kind of... journaling? It doesn't I don't know it's a lot to say there for what where it is, and it's uh it doesn't make sense. So. But I don't know. I don't know if there's more of that in the area. If there's more of that in the area. Then I say yes. Maybe there's something behind it. But if there isn't nothing in the area, then it's just probably came with the board or something.",For their criteria? Probably successful.,,"Personally, I would say it's not successful, because I don't understand what it means, it doesn't really have a clear message to it. ","I think so. For those who can't understand it, um because it's very noticeable.",Successfulness
Text 9,Hidden Blade Movie,Hidden Blade Movie,Hidden Blade Movie,Hidden Blade Movie,Hidden Blade Movie,Text 9
Text,hidden blades ,"Tane Lu one Yebo Hidden Blade 2/17 in theatres 2/17? Who said, Oh, my Oh, the 17th of February of some year. Yes. Looks like it's a movie poster.","What, did they draw on the poster? [It's just the whole poster as something posted on the building.] What about the poster?  [Who do you think the intended audience may be? ]","Yes, it looks like a movie poster.","Yes, ""Wu min is hidden blade. Tony learn a[reading],"" and the date in theaters. And other like names, right? This is a poster for the film.",Text
Audience,"Yeah. When is 2/17 this was this. Is this something? Like? I don't know. I've never seen the the intended audience maybe you gotta watch the movie. The message is in the movie, right? If there's an intended audience other than that than being an advertisement, yeah, but I don't know what year 2000 2/17 is. ?? February 17 of this year last year when it was in the production maybe it was ",probably local Chinese audience depending on whether it was in a Yeah. So local Chinese and or Chinese audience,"Oh, for anyone. You know, we, I do the same thing too sometimes for, for political candidates we use around and post it around Chinatown. ","It looks like a Chinese movie or a Chinese, like culture, Chinese-themed movie. So I would assume the audience is for anyone that's interested in like the Chinese culture, or maybe part of the Chinese culture.","I think maybe for those Chinese travelers, Chinese visitors there who would like to watch a Chinese movie.",Audience
Message,,ah publicity to publicize some kind of this does make me wonder why who and what the motivation other than to publicize a movie? Yeah. So I think it's overall pretty successful.,,I think they're definitely trying to advertise this movie.,Just come and watch this film.,Message
Intention,"Well, the intention is to have people watch the movie. Maybe there's a message in the movie",,And they probably do the same thing. Try to sell the film.,,,Intention
Location,"Oh, I do not. Besides that it's Chinese and this is in Chinatown","It's right in Chinatown, which means your are you that you would have a receptive audience","Well, I think they just find anyplace they can put on. Because we do the same thing. We find a spot, we just put it on.","I think they chose that area, because it's right by the sidewalk. And that might be the only other area that's free. [Why Wo Fat?]  I think definitely, because there'd be like Chinese people that walk around there, because it's going through the Chinatown, and, or even people that's just interested in Chinese culture, or like to experience it.","I think if, because they are like, it's in between the two signs, right? So they also people will notice this, if they can notice these two signs. And also, if they put it here, you know, on the larger space that might be that might look more obvious and people would like destroy it or something.",Location
Creation,"yeah, I'm looking at the the graphics. I mean, you can't tell with movies they make things look very different to different eras because they want to portray a different era so uh it's professionally printed so and stylized",,,"I feel like because it seems like a Chinese movie, It's pretty, it's like a obvious place to put it in Chinatown.",Two minutes,Creation
Motivation,,,"Well, the want to sell the product. ",,to promote this film,Motivation
Successfulness,,,"Oh, yeah. I mean, you know, you get free advertising.","I think it's successful. Because they're trying to, it seems like they're advertising this movie. And if it wasn't there, then most people probably won't know about this movie that's coming out.","I think so.  Why is that? But I wonder, because there's no location on the poster right? Even though people notice Oh, there's a film. They don't know where to watch it. Right?",Successfulness
Text 10,Romans 10:9,Romans 10:9,Romans 10:9,Romans 10:9,Romans 10:9,Text 10
Text,Bible is that the only laws and orders for the yeah I can read it.," Bible is that the only laws and orders for the Romans 10 10 Nine chapter so yeah, Bible Bible verse,","Yeah I can read it, I think it's some religious religious freak.","Yes   Bible is that thy only laws? I don't know what that says. For thee and then it looks like Romans 10:9.  […] Oh does that say ""and orders for thee"" ","""Bible is that thy only laws and orders for thee Romans 10:9"" chapter Oh is a section from the Bible?",Text
Audience,Yeah.  Everyonee in the world?,just about everyone who this person felt needs to know that this is what it says in the Bible,For everyone.,"This looks like a Bible verse. I'm not sure if that's real. But if it is a Bible verse, then it would appeal to people that is also Christian ","for everyone, because I think that's what the Christians want to do like to. To convey the the message is from the God to everyone.",Audience
Message,I have no idea as in biblical things I've been.,,"God is here. God is coming, you know.","    okay, this also kind of seems antigovernment to me maybe because or it's really about sharing Christianity but because they chose this specific verse saying the Bible is that thy only laws, it kind of like gives me like it kind of does give me like anti government like like we should listen to the Bible instead. ",We need to learn about Bible. We need to follow the words of the Bible.,Message
Intention,the Bible is the law. It seems that's what they're saying.,to  to elevate Christianity in some form or another? And to talk about its importance relative to other other laws,uh to preach. ,,,Intention
Location,"I don't know uh Bible thumpers are everywhere. I don't know. They you know, I? Sometimes a lot of times people who are they get religious or are religious, They get stuck in loops, and they feel like they have to force people to believe what, whatever loop they're in, uh... obviously, it's on their mind. And you know, it's also Oh, wait, maybe it came with the wood? Yeah, the other part? I mean, it looks a bit childish, it doesn't fit the format in that area. For what the risk is involved there. It is on the street that's busy and the police is right around the corner. So I mean, if it was done there, it's I don't know. It does look like that took time. Other ones are more very fast. Like almost like a, almost like a hit job. These this is more very, very uh it looked painful Just make writing it cus it almost like my son's like when he was younger writing. So yeah, it did take a little more time.","Oh, boy, immediately, this also falls in probably to the category of somebody who is probably not not entirely well and needed, at some point to tell everybody something that most of us probably didn't need to know. But yeah.","Well, again, it's there. It's a spot. Just use it.",for this one I think it's also like they're just finding a space to write. And I think it's more of that they want to write this down so that other people can see it maybe,Maybe they think like everyone left something on this board. And we need to leave something as well.,Location
Creation,,"other  other than having read the Bible, And also having selected that not much more than that",,I would assume like a minute,,Creation
Motivation,"And it does not. I mean, I know what the message is, is to put fear in a person that they have to follow the Bible. But I'm not buying it because it's the way it's coming out is. It's like the fear factor thing it's like, so many things nowadays, you want to play on your emotions. Make you scared to believe something if you have to scare somebody to believe in something, Is that really what you want to believe? Like, that's the wrong context for me. But that's just me.",,,,Just to spread the message of the god.,Motivation
Successfulness,"From the writers perspective? Yeah. They're saying what they want to say. I think it's successful from their perspective.  From my perspective… not very, I mean, I've never noticed that I see it now. ","Well, I'm actually gonna say not very successful in general, just because I'm not sure much of anybody would have really gained much from this message other than unless they really yeah no.","Yes, it is. You can see it, not as good as the other one. The other one is pretty uh obvious. This one is kind of, you know, I can't even read it.",I don't think it's that successful. Because I don't I'm not able to understand it. And it might only target people that are also Christian.,"I don't know. Maybe someone would like, like to read Bible after seeing these several lines.  [so you think it may be successful?]  maybe",Successfulness
Text 11,Protest poster,Protest poster,Protest poster,Protest poster,Protest poster,Text 11
Text,"Yeah. End the military prostitution complex, no more stolen girls in ???, ","[reads text] Wow, that's really cool. Oh, yeah. No, I didn't I didn't know that's what that poster was awesome.",,"Yes.  ""End the military prostitution complex, no more stolen girls and oil spills.""","""End the military prostitution complex? No more stolen girls and oil spills? Rim pac 2022.""",Text
Audience,"Uh the intended audience is more community awareness. That's what I think. Obviously, the military doesn't care and even military personnel probably will not see it. So it's more community awareness of what certain things bring or come with. I think that's what it's for.","local community more, And it seems like it'd be more towards the local activist community and or young youth community, particularly around the demilitarization of the Pacific?","Oh yeah, for the people in Hawaii. ",I think that would be like they're advocating for something probably towards the military,"I think, to the public to inform that. There's such a black history, black past in Hawaii.",Audience
Message,"awareness? Yeah. Yeah, the message is more awareness. That's what it is",,"The message is that we don't want you guys here. For the military. For RIMPAC. I see RIMPAC, right, 2022, all the soldiers come looking for prostitution and spill oil on the ocean. You know, during the exercise, I guess that's the message.",I think most likely they're advocating against like military like certain military operations. I'm not too sure what no more stolen girls mean but the oil spills probably imply like that they want clean water and a better environment.,I think it's to remind the public that Hawaii is an is a space that has been militarized and has been destroyed by the the the need to (???) like militarization. And we need to stop that.,Message
Intention,,"to relate some of the, I guess, you would say collateral impact of militarization, which could be exploitation and human trafficking, also environmental impact, and probably in relationship to oil spills, And some of the other detrimental aspects of military bases.",,,"to encourage more people to join them, invoke public consciousness awareness of this.",Intention
